CustomerKey,CustomerName,CustomerEmail,City,Region,Country
3,Customer 3,customer3@example.com,City 4,Region 5,USA
7,Customer 7,customer7@example.com,City 8,Region 9,USA
11,Customer 11,customer11@example.com,City 12,Region 13,USA
15,Customer 15,customer15@example.com,City 16,Region 17,USA
19,Customer 19,customer19@example.com,City 20,Region 21,USA
23,Customer 23,customer23@example.com,City 24,Region 25,USA
27,Customer 27,customer27@example.com,City 28,Region 29,USA
31,Customer 31,customer31@example.com,City 32,Region 33,USA
35,Customer 35,customer35@example.com,City 36,Region 37,USA
39,Customer 39,customer39@example.com,City 40,Region 41,USA
43,Customer 43,customer43@example.com,City 44,Region 45,USA
47,Customer 47,customer47@example.com,City 48,Region 49,USA
51,Customer 51,customer51@example.com,City 52,Region 3,USA
55,Customer 55,customer55@example.com,City 56,Region 7,USA
59,Customer 59,customer59@example.com,City 60,Region 11,USA
63,Customer 63,customer63@example.com,City 64,Region 15,USA
67,Customer 67,customer67@example.com,City 68,Region 19,USA
71,Customer 71,customer71@example.com,City 72,Region 23,USA
75,Customer 75,customer75@example.com,City 76,Region 27,USA
79,Customer 79,customer79@example.com,City 80,Region 31,USA
83,Customer 83,customer83@example.com,City 84,Region 35,USA
87,Customer 87,customer87@example.com,City 88,Region 39,USA
91,Customer 91,customer91@example.com,City 92,Region 43,USA
95,Customer 95,customer95@example.com,City 96,Region 47,USA
99,Customer 99,customer99@example.com,City 100,Region 1,USA
103,Customer 103,customer103@example.com,City 104,Region 5,USA
107,Customer 107,customer107@example.com,City 108,Region 9,USA
111,Customer 111,customer111@example.com,City 112,Region 13,USA
115,Customer 115,customer115@example.com,City 116,Region 17,USA
119,Customer 119,customer119@example.com,City 120,Region 21,USA
123,Customer 123,customer123@example.com,City 124,Region 25,USA
127,Customer 127,customer127@example.com,City 128,Region 29,USA
131,Customer 131,customer131@example.com,City 132,Region 33,USA
135,Customer 135,customer135@example.com,City 136,Region 37,USA
139,Customer 139,customer139@example.com,City 140,Region 41,USA
