CustomerName,CustomerEmail,TotalSpent,TotalOrders,AverageOrderValue
Customer 856,customer856@example.com,4127,14,294.7857
Customer 501,customer501@example.com,3434,9,381.5555
Customer 750,customer750@example.com,3267,9,363
Customer 155,customer155@example.com,3252,10,325.2
Customer 533,customer533@example.com,3160,9,351.1111
Customer 10,customer10@example.com,3132,9,348
Customer 831,customer831@example.com,3076,11,279.6363
Customer 452,customer452@example.com,3073,11,279.3636
Customer 618,customer618@example.com,3022,11,274.7272
Customer 513,customer513@example.com,3001,7,428.7142
Customer 381,customer381@example.com,2956,9,328.4444
Customer 429,customer429@example.com,2945,10,294.5
Customer 234,customer234@example.com,2896,10,289.6
Customer 884,customer884@example.com,2864,7,409.1428
Customer 925,customer925@example.com,2795,10,279.5
Customer 849,customer849@example.com,2786,10,278.6
Customer 323,customer323@example.com,2777,10,277.7
Customer 116,customer116@example.com,2764,10,276.4
Customer 1,customer1@example.com,2755,11,250.4545
Customer 579,customer579@example.com,2751,10,275.1
Customer 294,customer294@example.com,2731,7,390.1428
Customer 608,customer608@example.com,2731,10,273.1
Customer 163,customer163@example.com,2724,8,340.5
Customer 600,customer600@example.com,2720,9,302.2222
Customer 617,customer617@example.com,2695,8,336.875
Customer 35,customer35@example.com,2687,8,335.875
Customer 676,customer676@example.com,2686,9,298.4444
Customer 971,customer971@example.com,2680,8,335
Customer 257,customer257@example.com,2647,7,378.1428
Customer 209,customer209@example.com,2644,9,293.7777
Customer 969,customer969@example.com,2633,11,239.3636
Customer 700,customer700@example.com,2632,10,263.2
Customer 541,customer541@example.com,2620,7,374.2857
Customer 444,customer444@example.com,2618,10,261.8
Customer 844,customer844@example.com,2616,9,290.6666
Customer 393,customer393@example.com,2590,9,287.7777
Customer 228,customer228@example.com,2582,7,368.8571
Customer 867,customer867@example.com,2582,10,258.2
Customer 302,customer302@example.com,2580,10,258
Customer 984,customer984@example.com,2573,8,321.625
Customer 54,customer54@example.com,2547,7,363.8571
Customer 972,customer972@example.com,2540,8,317.5
Customer 623,customer623@example.com,2527,8,315.875
Customer 503,customer503@example.com,2525,8,315.625
Customer 726,customer726@example.com,2511,9,279
Customer 702,customer702@example.com,2492,9,276.8888
Customer 290,customer290@example.com,2491,8,311.375
Customer 117,customer117@example.com,2477,9,275.2222
Customer 101,customer101@example.com,2468,8,308.5
Customer 748,customer748@example.com,2467,7,352.4285
Customer 438,customer438@example.com,2452,9,272.4444
Customer 719,customer719@example.com,2438,8,304.75
Customer 742,customer742@example.com,2420,9,268.8888
Customer 316,customer316@example.com,2418,7,345.4285
Customer 756,customer756@example.com,2416,6,402.6666
Customer 882,customer882@example.com,2401,9,266.7777
Customer 154,customer154@example.com,2399,10,239.9
Customer 521,customer521@example.com,2390,7,341.4285
Customer 2,customer2@example.com,2377,8,297.125
Customer 712,customer712@example.com,2368,9,263.1111
Customer 502,customer502@example.com,2363,8,295.375
Customer 126,customer126@example.com,2362,8,295.25
Customer 666,customer666@example.com,2353,9,261.4444
Customer 991,customer991@example.com,2351,9,261.2222
Customer 325,customer325@example.com,2350,10,235
Customer 947,customer947@example.com,2346,8,293.25
Customer 375,customer375@example.com,2329,10,232.9
Customer 674,customer674@example.com,2320,8,290
Customer 526,customer526@example.com,2312,6,385.3333
Customer 937,customer937@example.com,2307,9,256.3333
Customer 273,customer273@example.com,2294,7,327.7142
Customer 279,customer279@example.com,2291,8,286.375
Customer 894,customer894@example.com,2291,9,254.5555
Customer 858,customer858@example.com,2287,7,326.7142
Customer 216,customer216@example.com,2287,11,207.909
Customer 27,customer27@example.com,2286,8,285.75
Customer 990,customer990@example.com,2278,8,284.75
Customer 761,customer761@example.com,2276,7,325.1428
Customer 46,customer46@example.com,2270,6,378.3333
Customer 878,customer878@example.com,2267,7,323.8571
